0.4 0.1; 90.0 60.0 30.0 30.0 -30.0; 0.1 0.1 0.1 0.1 0.1
0.4 0.1; 89.94270422 60.05729578 29.94270422 30.05729578 -29.94270422; 0.101 0.101 0.099 0.101 0.099
0.4 0.1; 89.88540844 60.11459156 29.88540844 30.11459156 -29.88540844; 0.102 0.102 0.098 0.102 0.098
0.4 0.1; 89.82811266 60.17188734 29.82811266 30.17188734 -29.82811266; 0.103 0.103 0.097 0.103 0.097
0.4 0.1; 89.77081688 60.22918312 29.77081688 30.22918312 -29.77081688; 0.104 0.104 0.096 0.104 0.096
0.4 0.1; 89.7135211 60.2864789 29.7135211 30.2864789 -29.7135211; 0.105 0.105 0.095 0.105 0.095
0.4 0.1; 89.65622532 60.34377468 29.65622532 30.34377468 -29.65622532; 0.106 0.106 0.094 0.106 0.094
0.4 0.1; 89.59892954 60.40107046 29.59892954 30.40107046 -29.59892954; 0.107 0.107 0.093 0.107 0.093
0.4 0.1; 89.54163376 60.45836624 29.54163376 30.45836624 -29.54163376; 0.108 0.108 0.092 0.108 0.092
0.4 0.1; 89.48433798 60.51566202 29.48433798 30.51566202 -29.48433798; 0.109 0.109 0.091 0.10852441 0.091
0.4 0.1; 89.4270422 60.5729578 29.4270422 30.5729578 -29.4270422; 0.11 0.11 0.09 0.10852441 0.09
0.4 0.1; 89.36974643 60.63025357 29.36974643 30.63025357 -29.36974643; 0.111 0.111 0.089 0.10852441 0.089
0.4 0.1; 89.31245065 60.68754935 29.31245065 30.68754935 -29.31245065; 0.112 0.112 0.088 0.10852441 0.088
0.4 0.1; 89.25515487 60.74484513 29.25515487 30.74484513 -29.25515487; 0.113 0.113 0.087 0.10852441 0.087
0.4 0.1; 89.19785909 60.80214091 29.19785909 30.80214091 -29.19785909; 0.114 0.114 0.086 0.10852441 0.086
0.4 0.1; 89.14056331 60.85943669 29.14056331 30.85943669 -29.14056331; 0.115 0.115 0.085 0.10852441 0.085
0.4 0.1; 89.08326753 60.91673247 29.08326753 30.91673247 -29.08326753; 0.116 0.116 0.084 0.10852441 0.08412215
0.4 0.1; 89.02597175 60.97402825 29.02597175 30.97402825 -29.02597175; 0.117 0.117 0.083 0.10852441 0.08412215
0.4 0.1; 88.96867597 61.03132403 28.96867597 31.03132403 -28.96867597; 0.118 0.118 0.082 0.10852441 0.08412215
0.4 0.1; 88.91138019 61.08861981 28.91138019 31.08861981 -28.91138019; 0.119 0.119 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.85408441 61.14591559 28.85408441 31.14591559 -28.85408441; 0.12 0.12 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.79678863 61.20321137 28.79678863 31.20321137 -28.79678863; 0.121 0.121 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.73949285 61.26050715 28.73949285 31.26050715 -28.73949285; 0.12188164 0.122 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.68219707 61.31780293 28.68219707 31.31780293 -28.68219707; 0.12188164 0.123 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.62490129 61.37509871 28.62490129 31.37509871 -28.62490129; 0.12188164 0.124 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.56760551 61.43239449 28.56760551 31.43239449 -28.56760551; 0.12188164 0.125 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.51030973 61.48969027 28.51030973 31.48969027 -28.51030973; 0.12188164 0.126 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.45301395 61.54698605 28.45301395 31.54698605 -28.45301395; 0.12188164 0.127 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.39571817 61.60428183 28.39571817 31.60428183 -28.39571817; 0.12188164 0.128 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.33842239 61.66157761 28.33842239 31.66157761 -28.33842239; 0.12188164 0.129 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.28112661 61.71887339 28.28112661 31.71887339 -28.28112661; 0.12188164 0.13 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.22383084 61.77616916 28.22383084 31.77616916 -28.22383084; 0.12188164 0.131 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.16653506 61.83346494 28.16653506 31.83346494 -28.16653506; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.10923928 61.89076072 28.10923928 31.89076072 -28.10923928; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 88.0519435 61.9480565 28.0519435 31.9480565 -28.0519435; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.99464772 62.00535228 27.99464772 32.00535228 -27.99464772; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.93735194 62.06264806 27.93735194 32.06264806 -27.93735194; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.88005616 62.11994384 27.88005616 32.11994384 -27.88005616; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.82276038 62.17723962 27.82276038 32.17723962 -27.82276038; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.7654646 62.2345354 27.7654646 32.2345354 -27.7654646; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.70816882 62.29183118 27.70816882 32.29183118 -27.70816882; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.65087304 62.34912696 27.65087304 32.34912696 -27.65087304; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.59357726 62.40642274 27.59357726 32.40642274 -27.59357726; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.53628148 62.46371852 27.53628148 32.46371852 -27.53628148; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.4789857 62.5210143 27.4789857 32.5210143 -27.4789857; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.42168992 62.57831008 27.42168992 32.57831008 -27.42168992; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.36439414 62.63560586 27.36439414 32.63560586 -27.36439414; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.30709836 62.69290164 27.30709836 32.69290164 -27.30709836; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.24980258 62.75019742 27.24980258 32.75019742 -27.24980258; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.1925068 62.8074932 27.1925068 32.8074932 -27.1925068; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
0.4 0.1; 87.13521102 62.86478898 27.13521102 32.86478898 -27.13521102; 0.12188164 0.13145775 0.08164386 0.10852441 0.08412215
