0.645 0.5; -120.0 30.0 45.0 45.0; 0.18 0.18 0.18 0.18
0.645 0.5; -120.05729578 30.05729578 44.94270422 44.94270422; 0.179 0.179 0.179 0.179
0.645 0.5; -120.11459156 30.11459156 44.88540844 44.88540844; 0.178 0.178 0.178 0.178
0.645 0.5; -120.17188734 30.17188734 44.82811266 44.82811266; 0.177 0.177 0.177 0.177
0.645 0.5; -120.22918312 30.22918312 44.77081688 44.77081688; 0.176 0.176 0.176 0.176
0.645 0.5; -120.2864789 30.2864789 44.7135211 44.7135211; 0.175 0.175 0.175 0.175
0.645 0.5; -120.34377468 30.34377468 44.65622532 44.65622532; 0.174 0.174 0.174 0.174
0.645 0.5; -120.40107046 30.40107046 44.59892954 44.59892954; 0.173 0.173 0.173 0.173
0.645 0.5; -120.45836624 30.45836624 44.54163376 44.54163376; 0.172 0.172 0.172 0.172
0.645 0.5; -120.51566202 30.51566202 44.48433798 44.48433798; 0.171 0.171 0.171 0.171
0.645 0.5; -120.5729578 30.5729578 44.4270422 44.4270422; 0.17 0.17 0.17 0.17
0.645 0.5; -120.63025357 30.63025357 44.36974643 44.36974643; 0.169 0.169 0.169 0.169
0.645 0.5; -120.68754935 30.68754935 44.31245065 44.31245065; 0.168 0.168 0.168 0.168
0.645 0.5; -120.74484513 30.74484513 44.25515487 44.25515487; 0.167 0.167 0.167 0.167
0.645 0.5; -120.80214091 30.80214091 44.19785909 44.19785909; 0.166 0.166 0.166 0.166
0.645 0.5; -120.85943669 30.85943669 44.14056331 44.14056331; 0.165 0.165 0.165 0.165
0.645 0.5; -120.91673247 30.91673247 44.08326753 44.08326753; 0.164 0.164 0.164 0.164
0.645 0.5; -120.97402825 30.97402825 44.02597175 44.02597175; 0.163 0.163 0.163 0.163
0.645 0.5; -121.03132403 31.03132403 43.96867597 43.96867597; 0.162 0.162 0.162 0.162
0.645 0.5; -121.08861981 31.08861981 43.91138019 43.91138019; 0.161 0.161 0.161 0.161
0.645 0.5; -121.14591559 31.14591559 43.85408441 43.85408441; 0.16 0.16 0.16 0.16
0.645 0.5; -121.20321137 31.20321137 43.79678863 43.79678863; 0.159 0.159 0.159 0.159
0.645 0.5; -121.26050715 31.26050715 43.73949285 43.73949285; 0.158 0.158 0.158 0.158
0.645 0.5; -121.31780293 31.31780293 43.68219707 43.68219707; 0.157 0.157 0.157 0.157
0.645 0.5; -121.37509871 31.37509871 43.62490129 43.62490129; 0.156 0.156 0.156 0.156
0.645 0.5; -121.43239449 31.43239449 43.56760551 43.56760551; 0.155 0.155 0.155 0.155
0.645 0.5; -121.48969027 31.48969027 43.51030973 43.51030973; 0.154 0.154 0.154 0.154
0.645 0.5; -121.54698605 31.54698605 43.45301395 43.45301395; 0.153 0.153 0.153 0.153
0.645 0.5; -121.60428183 31.60428183 43.39571817 43.39571817; 0.152 0.152 0.152 0.152
0.645 0.5; -121.66157761 31.66157761 43.33842239 43.33842239; 0.15140492 0.151 0.151 0.151
0.645 0.5; -121.71887339 31.71887339 43.28112661 43.28112661; 0.15140492 0.15 0.15 0.15
0.645 0.5; -121.77616916 31.77616916 43.22383084 43.22383084; 0.15140492 0.149 0.149 0.149
0.645 0.5; -121.83346494 31.83346494 43.16653506 43.16653506; 0.15140492 0.148 0.148 0.148
0.645 0.5; -121.89076072 31.89076072 43.10923928 43.10923928; 0.15140492 0.147 0.147 0.147
0.645 0.5; -121.9480565 31.9480565 43.0519435 43.0519435; 0.15140492 0.146 0.146 0.146
0.645 0.5; -122.00535228 32.00535228 42.99464772 42.99464772; 0.15140492 0.145 0.145 0.145
0.645 0.5; -122.06264806 32.06264806 42.93735194 42.93735194; 0.15140492 0.144 0.144 0.144
0.645 0.5; -122.11994384 32.11994384 42.88005616 42.88005616; 0.15140492 0.143 0.143 0.143
0.645 0.5; -122.17723962 32.17723962 42.82276038 42.82276038; 0.15140492 0.142 0.142 0.142
0.645 0.5; -122.2345354 32.2345354 42.7654646 42.7654646; 0.15140492 0.141 0.141 0.141
0.645 0.5; -122.29183118 32.29183118 42.70816882 42.70816882; 0.15140492 0.14 0.14 0.14
0.645 0.5; -122.34912696 32.34912696 42.65087304 42.65087304; 0.15140492 0.139 0.139 0.139
0.645 0.5; -122.40642274 32.40642274 42.59357726 42.59357726; 0.15140492 0.138 0.138 0.138
0.645 0.5; -122.46371852 32.46371852 42.53628148 42.53628148; 0.15140492 0.137 0.137 0.137
0.645 0.5; -122.5210143 32.5210143 42.4789857 42.4789857; 0.15140492 0.136 0.136 0.136
0.645 0.5; -122.57831008 32.57831008 42.42168992 42.42168992; 0.15140492 0.135 0.135 0.135
0.645 0.5; -122.63560586 32.63560586 42.36439414 42.36439414; 0.15140492 0.134 0.134 0.134
0.645 0.5; -122.69290164 32.69290164 42.30709836 42.30709836; 0.15140492 0.133 0.133 0.133
0.645 0.5; -122.75019742 32.75019742 42.24980258 42.24980258; 0.15140492 0.132 0.132 0.132
0.645 0.5; -122.8074932 32.8074932 42.1925068 42.1925068; 0.15140492 0.13153768 0.131 0.131
0.645 0.5; -122.86478898 32.86478898 42.13521102 42.13521102; 0.15140492 0.13153768 0.13 0.13029985
0.645 0.5; -122.92208476 32.92208476 42.07791524 42.07791524; 0.15140492 0.13153768 0.129 0.13029985
0.645 0.5; -122.97938053 32.97938053 42.02061947 42.02061947; 0.15140492 0.13153768 0.128 0.13029985
0.645 0.5; -123.03667631 33.03667631 41.96332369 41.96332369; 0.15140492 0.13153768 0.127 0.13029985
0.645 0.5; -123.09397209 33.09397209 41.90602791 41.90602791; 0.15140492 0.13153768 0.126 0.13029985
0.645 0.5; -123.15126787 33.15126787 41.84873213 41.84873213; 0.15140492 0.13153768 0.125 0.13029985
0.645 0.5; -123.20856365 33.20856365 41.79143635 41.79143635; 0.15140492 0.13153768 0.124 0.13029985
0.645 0.5; -123.26585943 33.26585943 41.73414057 41.73414057; 0.15140492 0.13153768 0.123 0.13029985
0.645 0.5; -123.32315521 33.32315521 41.67684479 41.67684479; 0.15140492 0.13153768 0.122 0.13029985
0.645 0.5; -123.38045099 33.38045099 41.61954901 41.61954901; 0.15140492 0.13153768 0.121 0.13029985
0.645 0.5; -123.43774677 33.43774677 41.56225323 41.56225323; 0.15140492 0.13153768 0.12 0.13029985
0.645 0.5; -123.49504255 33.49504255 41.50495745 41.50495745; 0.15140492 0.13153768 0.119 0.13029985
0.645 0.5; -123.55233833 33.55233833 41.44766167 41.44766167; 0.15140492 0.13153768 0.118 0.13029985
0.645 0.5; -123.60963411 33.60963411 41.39036589 41.39036589; 0.15140492 0.13153768 0.117 0.13029985
0.645 0.5; -123.66692989 33.66692989 41.33307011 41.33307011; 0.15140492 0.13153768 0.116 0.13029985
0.645 0.5; -123.72422567 33.72422567 41.27577433 41.27577433; 0.15140492 0.13153768 0.115 0.13029985
0.645 0.5; -123.78152145 33.78152145 41.21847855 41.21847855; 0.15140492 0.13153768 0.114 0.13029985
0.645 0.5; -123.83881723 33.83881723 41.16118277 41.16118277; 0.15140492 0.13153768 0.113 0.13029985
0.645 0.5; -123.89611301 33.89611301 41.10388699 41.10388699; 0.15140492 0.13153768 0.112 0.13029985
0.645 0.5; -123.95340879 33.95340879 41.04659121 41.04659121; 0.15140492 0.13153768 0.111 0.13029985
0.645 0.5; -124.01070457 34.01070457 40.98929543 40.98929543; 0.15140492 0.13153768 0.11 0.13029985
0.645 0.5; -124.06800035 34.06800035 40.93199965 40.93199965; 0.15140492 0.13153768 0.109 0.13029985
0.645 0.5; -124.12529612 34.12529612 40.87470388 40.87470388; 0.15140492 0.13153768 0.108 0.13029985
0.645 0.5; -124.1825919 34.1825919 40.8174081 40.8174081; 0.15140492 0.13153768 0.10730611 0.13029985
0.645 0.5; -124.23988768 34.23988768 40.76011232 40.76011232; 0.15140492 0.13153768 0.10730611 0.13029985
0.645 0.5; -124.29718346 34.29718346 40.70281654 40.70281654; 0.15140492 0.13153768 0.10730611 0.13029985
0.645 0.5; -124.35447924 34.35447924 40.64552076 40.64552076; 0.15140492 0.13153768 0.10730611 0.13029985
