0.4 0.1; 90.0 60.0 30.0 30.0 -30.0; 0.1 0.1 0.1 0.1 0.1
0.4 0.1; 90.05729578 60.05729578 29.94270422 30.05729578 -30.05729578; 0.101 0.101 0.099 0.101 0.099
0.4 0.1; 90.11459156 60.11459156 29.88540844 30.11459156 -30.11459156; 0.102 0.102 0.098 0.102 0.098
0.4 0.1; 90.17188734 60.17188734 29.82811266 30.17188734 -30.17188734; 0.103 0.103 0.097 0.10230834 0.097
0.4 0.1; 90.22918312 60.22918312 29.77081688 30.22918312 -30.22918312; 0.104 0.104 0.096 0.10230834 0.096
0.4 0.1; 90.2864789 60.2864789 29.7135211 30.2864789 -30.2864789; 0.105 0.105 0.095 0.10230834 0.095
0.4 0.1; 90.34377468 60.34377468 29.65622532 30.34377468 -30.34377468; 0.106 0.106 0.094 0.10230834 0.094
0.4 0.1; 90.40107046 60.40107046 29.59892954 30.40107046 -30.40107046; 0.107 0.107 0.093 0.10230834 0.093
0.4 0.1; 90.45836624 60.45836624 29.54163376 30.45836624 -30.45836624; 0.108 0.108 0.092 0.10230834 0.092
0.4 0.1; 90.51566202 60.51566202 29.48433798 30.51566202 -30.51566202; 0.109 0.10801366 0.091 0.10230834 0.091
0.4 0.1; 90.5729578 60.5729578 29.4270422 30.5729578 -30.5729578; 0.11 0.10801366 0.09 0.10230834 0.09
0.4 0.1; 90.63025357 60.63025357 29.36974643 30.63025357 -30.63025357; 0.111 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 90.68754935 60.68754935 29.31245065 30.68754935 -30.68754935; 0.112 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 90.74484513 60.74484513 29.25515487 30.74484513 -30.74484513; 0.113 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 90.80214091 60.80214091 29.19785909 30.80214091 -30.80214091; 0.114 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 90.85943669 60.85943669 29.14056331 30.85943669 -30.85943669; 0.115 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 90.91673247 60.91673247 29.08326753 30.91673247 -30.91673247; 0.116 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 90.97402825 60.97402825 29.02597175 30.97402825 -30.97402825; 0.117 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.03132403 61.03132403 28.96867597 31.03132403 -31.03132403; 0.118 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.08861981 61.08861981 28.91138019 31.08861981 -31.08861981; 0.119 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.14591559 61.14591559 28.85408441 31.14591559 -31.14591559; 0.12 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.20321137 61.20321137 28.79678863 31.20321137 -31.20321137; 0.121 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.26050715 61.26050715 28.73949285 31.26050715 -31.26050715; 0.122 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.31780293 61.31780293 28.68219707 31.31780293 -31.31780293; 0.123 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.37509871 61.37509871 28.62490129 31.37509871 -31.37509871; 0.124 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.43239449 61.43239449 28.56760551 31.43239449 -31.43239449; 0.125 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.48969027 61.48969027 28.51030973 31.48969027 -31.48969027; 0.126 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.54698605 61.54698605 28.45301395 31.54698605 -31.54698605; 0.127 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.60428183 61.60428183 28.39571817 31.60428183 -31.60428183; 0.128 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.66157761 61.66157761 28.33842239 31.66157761 -31.66157761; 0.129 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.71887339 61.71887339 28.28112661 31.71887339 -31.71887339; 0.13 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.77616916 61.77616916 28.22383084 31.77616916 -31.77616916; 0.131 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.83346494 61.83346494 28.16653506 31.83346494 -31.83346494; 0.132 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.89076072 61.89076072 28.10923928 31.89076072 -31.89076072; 0.133 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 91.9480565 61.9480565 28.0519435 31.9480565 -31.9480565; 0.134 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.00535228 62.00535228 27.99464772 32.00535228 -32.00535228; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.06264806 62.06264806 27.93735194 32.06264806 -32.06264806; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.11994384 62.11994384 27.88005616 32.11994384 -32.11994384; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.17723962 62.17723962 27.82276038 32.17723962 -32.17723962; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.2345354 62.2345354 27.7654646 32.2345354 -32.2345354; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.29183118 62.29183118 27.70816882 32.29183118 -32.29183118; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.34912696 62.34912696 27.65087304 32.34912696 -32.34912696; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.40642274 62.40642274 27.59357726 32.40642274 -32.40642274; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.46371852 62.46371852 27.53628148 32.46371852 -32.46371852; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.5210143 62.5210143 27.4789857 32.5210143 -32.5210143; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.57831008 62.57831008 27.42168992 32.57831008 -32.57831008; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.63560586 62.63560586 27.36439414 32.63560586 -32.63560586; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.69290164 62.69290164 27.30709836 32.69290164 -32.69290164; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
0.4 0.1; 92.75019742 62.75019742 27.24980258 32.75019742 -32.75019742; 0.13441835 0.10801366 0.08967482 0.10230834 0.08994653
