0.5 0.3; 30.0 30.0 30.0 -60.0; 0.2 0.2 0.2 0.2
0.5 0.3; 30.05729578 29.94270422 29.94270422 -59.94270422; 0.199 0.199 0.199 0.199
0.5 0.3; 30.11459156 29.88540844 29.88540844 -59.88540844; 0.198 0.198 0.198 0.198
0.5 0.3; 30.17188734 29.82811266 29.82811266 -59.82811266; 0.197 0.197 0.197 0.197
0.5 0.3; 30.22918312 29.77081688 29.77081688 -59.77081688; 0.196 0.196 0.196 0.196
0.5 0.3; 30.2864789 29.7135211 29.7135211 -59.7135211; 0.195 0.195 0.195 0.195
0.5 0.3; 30.34377468 29.65622532 29.65622532 -59.65622532; 0.194 0.194 0.194 0.194
0.5 0.3; 30.40107046 29.59892954 29.59892954 -59.59892954; 0.193 0.193 0.193 0.193
0.5 0.3; 30.45836624 29.54163376 29.54163376 -59.54163376; 0.192 0.192 0.192 0.192
0.5 0.3; 30.51566202 29.48433798 29.48433798 -59.48433798; 0.191 0.191 0.191 0.191
0.5 0.3; 30.5729578 29.4270422 29.4270422 -59.4270422; 0.19 0.19 0.19 0.19
0.5 0.3; 30.63025357 29.36974643 29.36974643 -59.36974643; 0.189 0.189 0.189 0.189
0.5 0.3; 30.68754935 29.31245065 29.31245065 -59.31245065; 0.188 0.188 0.188 0.188
0.5 0.3; 30.74484513 29.25515487 29.25515487 -59.25515487; 0.187 0.187 0.187 0.187
0.5 0.3; 30.80214091 29.19785909 29.19785909 -59.19785909; 0.186 0.186 0.186 0.186
0.5 0.3; 30.85943669 29.14056331 29.14056331 -59.14056331; 0.185 0.185 0.185 0.185
0.5 0.3; 30.91673247 29.08326753 29.08326753 -59.08326753; 0.184 0.184 0.184 0.184
0.5 0.3; 30.97402825 29.02597175 29.02597175 -59.02597175; 0.183 0.183 0.183 0.183
0.5 0.3; 31.03132403 28.96867597 28.96867597 -58.96867597; 0.182 0.182 0.182 0.182
0.5 0.3; 31.08861981 28.91138019 28.91138019 -58.91138019; 0.181 0.181 0.181 0.181
0.5 0.3; 31.14591559 28.85408441 28.85408441 -58.85408441; 0.18 0.18 0.18 0.18
0.5 0.3; 31.20321137 28.79678863 28.79678863 -58.79678863; 0.179 0.179 0.17905973 0.179
0.5 0.3; 31.26050715 28.73949285 28.73949285 -58.73949285; 0.178 0.178 0.17905973 0.178
0.5 0.3; 31.31780293 28.68219707 28.68219707 -58.68219707; 0.177 0.177 0.17905973 0.177
0.5 0.3; 31.37509871 28.62490129 28.62490129 -58.62490129; 0.176 0.176 0.17905973 0.176
0.5 0.3; 31.43239449 28.56760551 28.56760551 -58.56760551; 0.175 0.175 0.17905973 0.175
0.5 0.3; 31.48969027 28.51030973 28.51030973 -58.51030973; 0.174 0.174 0.17905973 0.174
0.5 0.3; 31.54698605 28.45301395 28.45301395 -58.45301395; 0.173 0.173 0.17905973 0.173
0.5 0.3; 31.60428183 28.39571817 28.39571817 -58.39571817; 0.172 0.17289866 0.17905973 0.172
0.5 0.3; 31.66157761 28.33842239 28.33842239 -58.33842239; 0.171 0.17289866 0.17905973 0.171
0.5 0.3; 31.71887339 28.28112661 28.28112661 -58.28112661; 0.17 0.17289866 0.17905973 0.17
0.5 0.3; 31.77616916 28.22383084 28.22383084 -58.22383084; 0.169 0.17289866 0.17905973 0.169
0.5 0.3; 31.83346494 28.16653506 28.16653506 -58.16653506; 0.168 0.17289866 0.17905973 0.168
0.5 0.3; 31.89076072 28.10923928 28.10923928 -58.10923928; 0.167 0.17289866 0.17905973 0.167
0.5 0.3; 31.9480565 28.0519435 28.0519435 -58.0519435; 0.166 0.17289866 0.17905973 0.166
0.5 0.3; 32.00535228 27.99464772 27.99464772 -57.99464772; 0.165 0.17289866 0.17905973 0.165
0.5 0.3; 32.06264806 27.93735194 27.93735194 -57.93735194; 0.164 0.17289866 0.17905973 0.164
0.5 0.3; 32.11994384 27.88005616 27.88005616 -57.88005616; 0.163 0.17289866 0.17905973 0.163
0.5 0.3; 32.17723962 27.82276038 27.82276038 -57.82276038; 0.162 0.17289866 0.17905973 0.162
0.5 0.3; 32.2345354 27.7654646 27.7654646 -57.7654646; 0.161 0.17289866 0.17905973 0.161
0.5 0.3; 32.29183118 27.70816882 27.70816882 -57.70816882; 0.16 0.17289866 0.17905973 0.16
0.5 0.3; 32.34912696 27.65087304 27.65087304 -57.65087304; 0.159 0.17289866 0.17905973 0.159
0.5 0.3; 32.40642274 27.59357726 27.59357726 -57.59357726; 0.158 0.17289866 0.17905973 0.158
0.5 0.3; 32.46371852 27.53628148 27.53628148 -57.53628148; 0.157 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.5210143 27.4789857 27.4789857 -57.4789857; 0.156 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.57831008 27.42168992 27.42168992 -57.42168992; 0.155 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.63560586 27.36439414 27.36439414 -57.36439414; 0.154 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.69290164 27.30709836 27.30709836 -57.30709836; 0.153 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.75019742 27.24980258 27.24980258 -57.24980258; 0.152 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.8074932 27.1925068 27.1925068 -57.1925068; 0.151 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.86478898 27.13521102 27.13521102 -57.13521102; 0.15 0.17289866 0.17905973 0.15721638
0.5 0.3; 32.92208476 27.07791524 27.07791524 -57.07791524; 0.149 0.17289866 0.17905973 0.15721638
